,id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,possession.attack,carry.progression,carry.endLocation.x,carry.endLocation.y,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,possession,infraction.opponent,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,shot.goalkeeper
162,1798755488,5414284,1H,9,57,00:09:57.627,599.62735,1798755489.0,,,,,,duel,"['ground_duel', 'offensive_duel']",71,26,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,289193,J. Thompson,LCMF,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,12.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,590472.0,B. Šeško,SS,offensive_duel,True,False,,,False,,1798754835.0,,,,,,,,,,,,,,,,,,
163,1798755489,5414284,1H,9,58,00:09:58.561,600.561819,1798755491.0,,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",67,29,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,289193,J. Thompson,LCMF,True,98.0,,21.0,345849.0,B. Lyons,RCMF,64.0,60.0,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,13.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1798755491,5414284,1H,10,0,00:10:00.304,602.304897,1798755493.0,,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",64,60,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,345849,B. Lyons,RCMF,True,103.0,,14.0,405725.0,E. Toal,RCB,61.0,80.0,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,14.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1798755493,5414284,1H,10,3,00:10:03.318,605.318115,1798755494.0,,,,,,pass,"['forward_pass', 'pass_to_final_third', 'short_or_medium_pass']",61,80,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,405725,E. Toal,RCB,True,36.0,,13.0,408441.0,P. Smyth,RW,71.0,91.0,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,15.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1798754841,5414284,1H,10,5,00:10:05.263,607.263595,1798754845.0,,,,,,duel,"['defensive_duel', 'ground_duel']",29,9,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,85466,E. Janža,LB,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,16.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,408441.0,P. Smyth,RW,defensive_duel,,,True,False,False,left,1798755494.0,,,,,,,,,,,,,,,,,,
167,1798755494,5414284,1H,10,5,00:10:05.263,607.263595,1798755495.0,,,,,,duel,"['dribble', 'ground_duel', 'offensive_duel']",71,91,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,408441,P. Smyth,RW,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,17.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,85466.0,E. Janža,LB,dribble,True,False,,,False,right,1798754841.0,,,,,,,,,,,,,,,,,,
168,1798754845,5414284,1H,10,7,00:10:07.613,609.613432,1798755496.0,,,,,,duel,['loose_ball_duel'],41,19,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,345819,T. Elšnik,LCMF,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,18.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1798755495,5414284,1H,10,7,00:10:07.613,609.613432,1798755496.0,,,,,,duel,"['loose_ball_duel', 'sliding_tackle']",59,81,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,578843,T. Hume,RB,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,19.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1798754852,5414284,1H,10,10,00:10:10.097,612.09719,,,,,,,game_interruption,['ball_out'],42,0,12046,Slovenia,4-4-2,10962,Northern Ireland,4-1-4-1,0,,,,,,,,,,,,1798755475.0,28.136248,"['set_piece_attack', 'attack', 'free_kick']",21.0,20.0,51.0,52.0,58.0,100.0,10962.0,Northern Ireland,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1798755496,5414284,1H,10,20,00:10:20.449,622.449709,1798755497.0,,,,,,throw_in,[],53,100,10962,Northern Ireland,4-1-4-1,12046,Slovenia,4-4-2,578843,T. Hume,RB,True,-126.0,,26.0,405725.0,E. Toal,RCB,39.0,69.0,1798755496.0,13.2683325,['throw_in'],9.0,0.0,53.0,100.0,57.0,92.0,10962.0,Northern Ireland,4-1-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
